,,Degree,,,,,,Master,,,,,,,Doctor Degree,,,,,,Atuação Profissional,,,,Acacia (cons. em 18/7/24),,,,,,,,,
Surname,Name,CourseG,InstitutionG,StartG,EndG,2nd CourseG,2nd Institution,CourseM,InstitutionM,AdvisorM,StartM,EndM,2nd CourseM,2nd InstitutionM,CourseD,CountryD,InstitutionD,AdvisorD,StartD,EndD,InstitutionP,StartP,EndP,2nd InstitutionP,Ds,IG,OBS,entries_sian,BR_DFANBSB_N8_ou_V8_entries_50_79,,,,,
Kirner,Claudio,Eng. Elétrica,USP,1969,1973,,,Engenharia Eletrônica e Computação,ITA,Oscar Akio Nawa,1974,1978,,,Engenharia de Sistemas e Computação,BR,UFRJ,Sueli Bandeira Teixeira Mendes,1979,1986,USP,1989,2003,,408,7,grad. EESC USP,0,,,,,,
Veloso,Sheila Regina Murgel,Eng. Química,UFRJ,1966,1970,,,Mathematics,Univ. of California,,1972,1973,,,Engenharia de Sistemas e Computação,BR,UFRJ,Sueli Bandeira Teixeira Mendes,1979,1985,UFRJ,1978,2005,UERJ,35,2,,0,,,,,,
Toscani,Laira Vieira,Matemática,PUC-Rio,1969,1971,,,Informática,PUC-Rio,Sueli Bandeira Teixeira Mendes,1972,1973,,,Informática,BR,PUC-Rio,Paulo Augusto Silva Veloso,1984,1988,UFRGS,1974,2005,,152,3,,0,,,,,,
Price,Ana Maria de Alencar,Eng. Química,UFRGS,1968,1972,,,Informática,PUC-Rio, Sergio Eduardo Rodrigues de Carvalho,1973,1974,,,Computação,UK,Univ. of Sussex,,1981,1984,UFRGS,1975,2001,,29,2,,2,adm.,FICHAS INDIVIDUAIS DE CANDIDATOS A EMPREGO NA UFRGS.,,,,
Price,Roberto Tom,Eng. Civil,UFRGS,1966,1971,,,Especialização em Ciência da Computação,PUC-Rio,Firmo Freire,1974,1974,Management Studies,LSE,Comp. Sc.,UK,Universidade de Sussex,Desmond Watson,1981,1984,UFRGS,1975,2009,,280,6,,2,adm.,FICHAS INDIVIDUAIS DE CANDIDATOS A EMPREGO NA UFRGS.,,,,
Nunes,Daltro José,Eng. Elétrica,UFRGS,1965,1969,,,Informática,PUC-Rio,Sergio Roberto Pinto Teixeira,1971,1972,,,Informatik,DE,Universität Stuttgart,Rul Guntzenhauser,1981,1985,UFRGS,1970,-,,146,7,,0,,,,,,
Santos,Clésio Saraiva dos,Eng. Civil,UFRGS,1966,1970,,,Informática,PUC-Rio,Antonio Luz Furtado,1971,1972,,,Informática,BR,PUC-Rio,Antonio Luz Furtado,1976,1980,UFRGS,1971,2002,,90,4,2002 = data aposentadoria, fal. 2009,0,,,,,
Castilho,José Mauro Volkmer de,Eng. Elétrica,UFRGS,1967,1971,,,Informática,PUC-Rio,Sergio Roberto Pinto Teixeira,,1973,,,Informática,BR,PUC-Rio,Antonio Luz Furtado,,1982,UFRGS,1975,1998,,36,1,parc. do bio no semish 77,0,,,,,,
Oliveira,José Palazzo Moreira de,Eng. Elétrica,UFRGS,1964,1968,,,Computação,UFRGS,José Mauro Volkmer de Castilho,1973,1976,,,Informática,FR,Instituto Nacional Politécnico de Grenoble,Michel Adiba,1982,1984,UFRGS,1969,-,,487,9,,0,,,,,,
Azeredo,Paulo Alberto de,Eng. Mecânica,UFRGS,1963,1968,,,Informática,PUC-Rio,Antonio Luz Furtado,1970,1972,,,Informática,BR,PUC-Rio,Arndt von Staa,1976,1980,UFRGS,1968,2001,,213,5,,0,,,,,,
Navaux,Philippe Olivier Alexandre,Eng. Elétrica,UFRGS,1966,1970,,,Física,UFRGS,John Rogers,1971,1973,,,Informática,FR,Instituto Nacional Politécnico de Grenoble,François Anceau,1976,1979,UFRGS,1973,-,,690,11,,0,,,,,,
Wagner,Flávio Rech,Eng. Elétrica,UFRGS,1971,1975,,,Computação,UFRGS,Francisco Bernardo Moser Filho,1975,1977,,,Informática,DE,Technische Universität Kaiserslautern,Siegfried Wendt,1980,1983,UFRGS,1977,-,,303,6,,0,,,,,,
Heuser,Carlos Alberto,Eng. Elétrica,UFRGS,1969,1973,,,Computação,UFRGS,Sérgio Rosa Cruz,1974,1976,,,Informática,DE,Rheinische Friedrich-Wilhelms-Universität Bonn,Gernot Richter/Kurt Lautenbach,1983,1986,UFRGS,1975,2012,,333,8,,0,,,,,,
Bordini,Sérgio Machado,Eng. Elétrica,UFRGS,1965,1969,,,Física Aplicada,UFRGS,John Rogers,1970,1972,,,,,,,,,Edisa,1978,1992,"Altus, UFRGS",499,1,,0,,,,,,
Centeno,Luis Fernando Ramos,Eng. Eletrônica? Mecânica?,UFRGS,,1969,,,Informática,PUC-Rio,Carlos José Pereira de Lucena,,1972,,,,,,,,,,,,,0,0,,0,,,,,,
Weber,Taisy Silva,Eng. Elétrica,UFRGS,1972,1976,,,Computação,UFRGS,Juergen Rochol,1977,1979,,,Informatik,DE,Karlsruher Institut für Technologie,Detlef Schmid,1982,1986,UFRGS,1978,2021?,,101,4,,0,,,,,,
Maculan Filho,Nelson,Eng. de Minas,UFOP,1961,1965,,,Estatística-Matemática,Université Pierre et Marie Curie,Jean Abadie,1966,1967,,,Eng. de Produção,BR,UFRJ,Paulo Oswaldo Boaventura Netto,1972,1975,UFRJ,1973,-,,2081,13,,4,IPM sobre mov. estudantil,"BR DFANBSB V8.MIC, GNC.CCC.76006420",,,,
Pacitti, Tércio,Eng. Aeronáutica,ITA,1949,1952,Eng. Eletrônica,1959,Electrical Engineering And Computer Science,University Of California At Berkeley,C.P. Atkinson,1960,1961,,,Electrical Engineering And Computer Science,US,University Of California At Berkeley,"Otto J.M Smith, Albert Fishlow",1969,1971,ITA,1955,1984,,28,1,ver http://www.memoria.nce.ufrj.br/icones-da-computacao/,0,,,,,,
Marques,Ivan da Costa,Eng. Eletrônica,ITA,1963,1967,,,Electrical Engineering And Computer Science,University Of California At Berkeley,Philip Spira,1969,1970,,,Electrical Engineering And Computer Science,US,University Of California At Berkeley,Manuel Blum,1969,1973,UFRJ,1967,2016,,522,5,,1,SEMINARIO SOBRE CIENCIA E TECNOLOGIA E ESTRATEGIA PARA A INDEPENDENCIA DA UNICAMP.,"BR DFANBSB V8.MIC, GNC.EEE.80004370 - Dossiê",02/06/24,,,
Silva Filho,Ysmar Vianna e,Eng. Eletrônica,ITA,1962,1966,,,,,,,,,,Electrical Engineering And Computer Science,US,University Of California At Berkeley,Richard Karp,1968,1972,UFRJ,1968,1996,,608,5,,0,,,,,,
Szwarcfiter, Jayme Luiz,Eng. Eletrônica,UFRJ,1963,1967,,,Engenharia de Sistemas e Computação,UFRJ,Denis França Leite,1970,1971,,,Ciência da Computação,UK,Newcastle University,L B. Wilson,1972,1975,,1968,2011,UERJ,412,9,,0,,,,,,
Schmitz,Eber Assis,Eng. Eletrônica,UFRGS,1967,1971,,,Eng. Elétrica,UFRJ,Pierre Jean Lavelle,1972,1973,,,Computing Science,UK,Imperial College London,David J Howartjh,1976,1980,UFRJ,1981,2023,,157,5,,0,,,,,,
Rodrigues,Paulo Henrique de Aguiar,Eng. Eletrônica,ITA,1970,1974,,,Engenharia de Sistemas e Computação,UFRJ,Diogo Fujio Takano,1975,1977,,,Computer Sciences,US,UCLA,Mario Gerla,1979,1984,UFRJ,1981,-,,65,3,,0,,,,,,
Faller,Newton,Eng. Eletrônica,ITA,1965,1969,,,Engenharia de Sistemas e Computação,UFRJ,Ysmar Vianna e Silva Filho,,1973,,,Electrical Engineering and Computer Sciences,US,Univ. of Berkeley,Domenico Ferrari,1976,1981,UFRJ,1981,1996,,,,ver tb. https://pt.wikipedia.org/wiki/Newton_Faller,0,,,,,,
Veloso,Paulo Augusto Silva,Eng. Eletrônica,ITA,1964,1968,,,Engenharia de Sistemas e Computação,UFRJ,Larry Kerschberg,1969,1970,Mathematics (logic),University of California,Electrical Engineering & Computer Science,US,University of California,Arthur Gill,1971,1975,UFRJ,1969,2020,PUC-Rio,497,5,,0,,,,,,
Aude,Júlio Salek,Eng. Eletrônica,UFRJ,1970,1974,,,Engenharia de Sistemas e Computação,UFRJ,Jayme Luiz Szwarcfiter,1975,1978,,,Comp. Sc.,UK,University of Manchester,Hilary J Kahn,1982,1986,UFRJ,1981,2001,,12,1,,0,,,,,,
Aude,Eliana Prado Lopes,Eng. Eletrônica,UFRJ,1972,1976,,,Eng. Elétrica,UFRJ,Flávio Grynszpan,1977,1981,,,Electrical Eng.,UK,Univ. of Manchester,David J Sandoz,1982,1986,UFRJ,1981,2011,,25,1,,0,,,,,,
Couceiro,Luiz Antônio Carneiro da Cunha,Eng. Eletrônica,UFRJ,,1970,,,Engenharia de Sistemas e Computação,UFRJ,Ysmar Vianna e Silva Filho,,1976,,,,,,,,,,,,,1,0,,0,,,,,,
Silva Filho,Edmundo Albuquerque de Souza e,Eng. Elétrica,PUC-Rio,1971,1975,,,Eng. Elétrica,PUC-Rio,Firmo Freire,1976,1978,,,Ciência da Computação,US,UCLA,Richard R. Muntz,1979,1984,UFRJ,1987,-,PUC-Rio,0,0,,0,,,,,,
